Date,BBCA,BYAN,TPIA,BBRI,BMRI,DSSA,TLKM,ASII,BBNI,ICBP
2018-01-01,3723.9267578125,716.8978881835938,1457.91748046875,2289.992919921875,2592.610107421875,1390.0,3339.20849609375,5383.92822265625,3732.603759765625,7525.14306640625
2018-01-02,3723.9267578125,723.6612548828125,1439.69384765625,2283.701416015625,2543.998779296875,1410.0,3316.646484375,5319.0625,3685.475341796875,7694.24755859375
2018-01-03,3723.9267578125,723.6612548828125,1403.24560546875,2271.119140625,2495.38720703125,1390.0,3181.273193359375,5221.76171875,3553.513916015625,7694.24755859375
2018-01-04,3779.189453125,716.8978881835938,1348.5738525390625,2233.3720703125,2535.89697265625,1390.0,3173.752197265625,5335.27880859375,3544.089111328125,7715.38525390625
2018-01-05,3783.441162109375,720.279541015625,1385.021728515625,2258.536865234375,2535.89697265625,1390.0,3218.876953125,5383.92822265625,3506.385009765625,7842.21484375
2018-01-06,3783.441162109375,720.279541015625,1385.021728515625,2258.536865234375,2535.89697265625,1390.0,3218.876953125,5383.92822265625,3506.385009765625,7842.21484375
2018-01-07,3783.441162109375,720.279541015625,1385.021728515625,2258.536865234375,2535.89697265625,1390.0,3218.876953125,5383.92822265625,3506.385009765625,7842.21484375
2018-01-08,3800.445556640625,703.37158203125,1397.1710205078125,2258.536865234375,2568.304443359375,1390.0,3203.835205078125,5383.92822265625,3506.385009765625,7609.69580078125
2018-01-09,3830.202880859375,710.1347045898438,1397.1710205078125,2245.95458984375,2560.202392578125,1390.0,3158.710693359375,5302.84521484375,3506.385009765625,7504.00634765625
2018-01-10,3817.44921875,642.5029296875,1360.7232666015625,2220.78955078125,2560.202392578125,1390.0,3151.190185546875,5367.71240234375,3496.959716796875,7377.17724609375
2018-01-11,3859.959716796875,713.5164184570312,1342.4990234375,2227.08056640625,2616.915771484375,1390.0,3136.14892578125,5351.4951171875,3496.959716796875,7377.17724609375
2018-01-12,3813.197998046875,693.226806640625,1342.4990234375,2227.08056640625,2625.017333984375,1390.0,3106.0654296875,5302.84521484375,3496.959716796875,7482.86865234375
2018-01-13,3813.197998046875,693.226806640625,1342.4990234375,2227.08056640625,2625.017333984375,1390.0,3106.0654296875,5302.84521484375,3496.959716796875,7482.86865234375
2018-01-14,3813.197998046875,693.226806640625,1342.4990234375,2227.08056640625,2625.017333984375,1390.0,3106.0654296875,5302.84521484375,3496.959716796875,7482.86865234375
2018-01-15,3821.699951171875,730.4242553710938,1336.4244384765625,2233.3720703125,2657.425537109375,1390.0,3098.544921875,5302.84521484375,3581.791748046875,7482.86865234375
2018-01-16,3842.955322265625,720.279541015625,1336.4244384765625,2271.119140625,2665.527099609375,1390.0,3166.2314453125,5335.27880859375,3619.49462890625,7482.86865234375
2018-01-17,3766.436767578125,720.279541015625,1336.4244384765625,2283.701416015625,2625.017333984375,1390.0,3158.710693359375,5319.0625,3619.49462890625,7504.00634765625
2018-01-18,3838.704833984375,737.1874389648438,1312.1259765625,2277.410400390625,2633.11962890625,1390.0,3136.14892578125,5383.92822265625,3581.791748046875,7504.00634765625
2018-01-19,3817.44921875,727.042724609375,1354.6484375,2277.410400390625,2616.915771484375,1390.0,3128.627685546875,5416.36083984375,3553.513916015625,7356.0390625
2018-01-20,3817.44921875,727.042724609375,1354.6484375,2277.410400390625,2616.915771484375,1390.0,3128.627685546875,5416.36083984375,3553.513916015625,7356.0390625
2018-01-21,3817.44921875,727.042724609375,1354.6484375,2277.410400390625,2616.915771484375,1390.0,3128.627685546875,5416.36083984375,3553.513916015625,7356.0390625
2018-01-22,3821.699951171875,723.6612548828125,1354.6484375,2296.283935546875,2616.915771484375,1390.0,3106.0654296875,5351.4951171875,3544.089111328125,7356.0390625
2018-01-23,3851.458251953125,728.7335815429688,1360.7232666015625,2466.14599609375,2649.3232421875,1390.0,3075.98291015625,5529.87890625,3638.345947265625,7482.86865234375
2018-01-24,3838.704833984375,737.1874389648438,1336.4244384765625,2409.525390625,2673.62890625,1390.0,2993.254638671875,5659.61181640625,3666.6240234375,7482.86865234375
2018-01-25,3838.704833984375,738.8782958984375,1573.3359375,2371.7783203125,2641.2216796875,1390.0,2985.73388671875,5659.61181640625,3619.49462890625,7461.72998046875
2018-01-26,3859.959716796875,738.8782958984375,1536.88818359375,2422.107666015625,2657.425537109375,1390.0,3121.107177734375,5594.7451171875,3619.49462890625,7461.72998046875
2018-01-27,3859.959716796875,738.8782958984375,1536.88818359375,2422.107666015625,2657.425537109375,1390.0,3121.107177734375,5594.7451171875,3619.49462890625,7461.72998046875
2018-01-28,3859.959716796875,738.8782958984375,1536.88818359375,2422.107666015625,2657.425537109375,1390.0,3121.107177734375,5594.7451171875,3619.49462890625,7461.72998046875
2018-01-29,3876.964111328125,733.8059692382812,1573.3359375,2390.651611328125,2649.3232421875,1390.0,3060.94140625,5610.9609375,3581.791748046875,7504.00634765625
2018-01-30,3876.964111328125,730.4242553710938,1585.4853515625,2340.322265625,2608.813720703125,1390.0,2985.73388671875,5465.01220703125,3478.1083984375,7356.0390625
2018-01-31,3864.210693359375,723.6612548828125,1585.4853515625,2327.739501953125,2641.2216796875,1390.0,3000.775146484375,5513.66162109375,3544.089111328125,7377.17724609375
2018-02-01,3974.738037109375,710.1347045898438,1573.3359375,2327.739501953125,2657.425537109375,1390.0,2993.254638671875,5562.31201171875,3515.811279296875,7356.0390625
2018-02-02,4076.76416015625,710.1347045898438,1579.41064453125,2352.90478515625,2633.11962890625,1390.0,3008.2958984375,5643.3955078125,3506.385009765625,7440.59228515625
